agi,agiint,agistr,agistrint,arcres,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,healthrgn,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdhastepct,slotbak,socket1,socket2,speed,splhastepct,sta,str,strint,versatility
,,,,,,,9.0,,,,,,,14.0,,10.0,Anthia's Ring,,,,Rare,85.0,,11.0,,,,,21.0,,,
14.0,,,,,,,,,,,,9.0,,,,9.0,Ring of Blinding Stars,,,,Rare,83.0,,11.0,,,,,21.0,,,
,,,,,,,9.0,,,,,9.0,,14.0,,,Band of Secret Names,,,,Epic,85.0,,11.0,,,,,21.0,,,
,,,,,,,,,,,,10.0,,14.0,,,Soul Drain Signet,,,,Epic,85.0,,11.0,,,,,21.0,,,9.0
,,,,,,,9.0,,,,,9.0,,,,,Nova Band,,,,Rare,83.0,,11.0,,,,,21.0,14.0,,
,,,,,,,,,,,,,,14.0,,9.0,Twined Band of Flowers,,,,Epic,85.0,,11.0,,,,,21.0,,,9.0
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Druid",,9.0,,,,,,,14.0,,9.0,Ruthless Gladiator's Band of Cruelty,,,,Epic,85.0,,11.0,,,,,21.0,,,
,,,,,,,10.0,,,,,,,14.0,,8.0,Faded Forest Band,,,,Uncommon,85.0,,11.0,,,,,21.0,,,
,,,,,,,11.0,,,,,7.0,,,,,Meteorite Ring,,,,Epic,85.0,,11.0,,,,,21.0,14.0,,
14.0,,,,,,,9.0,,,,,9.0,,,,,Lightning Conductor Band,,,,Epic,85.0,,11.0,,,,,21.0,,,
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Druid",,9.0,,,,,9.0,,14.0,,,Ruthless Gladiator's Band of Accuracy,,,,Epic,85.0,,11.0,,,,,21.0,,,
,,,,,,,9.0,,,,,,,14.0,,9.0,Faded Forest Ring,,,,Uncommon,85.0,,11.0,,,,,21.0,,,
,,,,,,,9.0,,,,,,,14.0,,10.0,Red Dragonheart Ring,,,,Rare,,,11.0,,,,,21.0,,,
,,,,,"Paladin,Priest,Shaman,Monk,Druid",,,,,,,9.0,,14.0,,,Ruthless Gladiator's Band of Meditation,,,,Epic,85.0,,11.0,,,,,21.0,,,9.0
9.0,,,,,,,10.0,,,,,7.0,,,,,Band of Blades,,1.0,,Rare,85.0,,11.0,Prismatic socket,,,,21.0,,,
14.0,,,,,,,9.0,,,,,,,,,9.0,Skullcracker Ring,,,,Rare,85.0,,11.0,,,,,21.0,,,
,,,,,,,9.0,,,,,,,14.0,,9.0,Band of Lamentation,,,,Rare,85.0,,11.0,,,,,21.0,,,
,,,,,"Warrior,Paladin,Death knight",,9.0,,,,,9.0,,,,,Ruthless Gladiator's Signet of Cruelty,,,,Epic,85.0,,11.0,,,,,21.0,14.0,,
,,,,,,,7.0,,,,,,,,,14.0,Umbriss Band,,,,Rare,83.0,,11.0,,,,,21.0,14.0,,
,,,,,"Warrior,Paladin,Death knight",,9.0,,,,,,,,,9.0,Ruthless Gladiator's Signet of Accuracy,,,,Epic,85.0,,11.0,,,,,21.0,14.0,,
,,,,,,,,,,,,,,,,,Gemmed Ring,,,,Uncommon,84.0,,11.0,,,,,21.0,14.0,,
,,,,,,,3.0,,,,,,,,,9.0,Dargonax's Signet,,1.0,,Epic,85.0,,11.0,Prismatic socket,,,,21.0,14.0,,
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Druid",,9.0,,,,,,,14.0,,9.0,Vicious Gladiator's Band of Cruelty,,,,Epic,85.0,,11.0,,,,,21.0,,,
,,,,,,,9.0,,,,,,,14.0,,9.0,Spirit Creeper Ring,,,,Rare,85.0,,11.0,,,,,21.0,,,
,,,,,,,,,,,,,,,,,Permafrost Signet,,,,Epic,85.0,,11.0,,,,,21.0,14.0,,
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Druid",,9.0,,,,,,,14.0,,9.0,Bloodthirsty Gladiator's Band of Cruelty,,,,Rare,85.0,,11.0,,,,,21.0,,,
,,,,,,,,,,,,9.0,,14.0,,9.0,Signet of the Fifth Circle,,,,Epic,85.0,,11.0,,,,,21.0,,,
,,,,,,,8.0,,,,,,,,,10.0,Dark-Eye Ring,,,,Uncommon,,,11.0,,,,,21.0,14.0,,
,,,,,,,9.0,,,,,,,14.0,,,Ring of Frozen Rain,,,,Rare,81.0,,11.0,,,,,21.0,,,9.0
,,,,,,,,,,,,,,,,,Hessonite Band,,,,Uncommon,82.0,,11.0,,,,,21.0,14.0,,
,,,,,,,7.0,,14.0,,,,,,,,Band of Pleasant Pain,,,,Rare,82.0,,11.0,,,,,21.0,10.0,,
,,,,,,,169.0,,,,,,,,,201.0,Crystal Prison Band,,,,Epic,85.0,,11.0,,,,,200.0,,,
,,,,,,,10.0,,,,,12.0,,17.0,,,Petrified Pennyroyal Ring,,,,Epic,90.0,,11.0,,,,,26.0,,,
14.0,,,,,,,8.0,,,,,11.0,,,,,Reality Ripper Ring,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,,,
,,,,,,,12.0,,,,,12.0,,17.0,,,Extinguished Ember of Galakras,,,,Epic,90.0,,11.0,,,,,26.0,,,
14.0,,,,,,,10.0,,,,,,,,,10.0,Swift Serpent Signet,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,,,
,,,,,,,,,,,,,,,,10.0,Galakrond Control Band,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,14.0,,10.0
14.0,,,,,,,,,,,,10.0,,,,10.0,Kil'ruk's Band of Ascendancy,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,,,
,,,,,,,11.0,,,,,,,,,8.0,Bloodclaw Band,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,14.0,,
,,,,,,,11.0,,,,,,,,,8.0,Bloodclaw Band,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,14.0,,
,,,,,,,8.0,,,,,,,,,,Ring of the Iron Tomb,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,14.0,,11.0
,,,,,,,13.0,,,,,10.0,,,,,Sorrowpath Signet,,,,Epic,90.0,,11.0,,,,,26.0,17.0,,
,,,,,,,10.0,,,,,12.0,,17.0,,,Petrified Pennyroyal Ring,,,,Epic,90.0,,11.0,,,,,26.0,,,
,,,,,,,,,,,,10.0,,14.0,,10.0,Signet of the Dinomancers,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,,,
,,,,,,,,,,,,,,14.0,,8.0,Seal of Eternal Sorrow,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,,,11.0
,,,,,,,9.0,,,,,,,14.0,,,Seal of Sullen Fury,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,,,11.0
,,,,,,,10.0,,,,,,,,,9.0,Devilfang Band,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,14.0,,
,,,,,,,9.0,,,,,,,14.0,,,Seal of Sullen Fury,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,,,11.0
,,,,,,,10.0,,,,,9.0,,,,,Seal of the Forgotten Kings,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,26.0,14.0,,
,,,,,,,10.0,,,,,,,17.0,,12.0,Iyyokuk's Hereditary Seal,,,,Epic,90.0,,11.0,,,,,25.0,,,
,,,,,,,,,,,,,,14.0,,8.0,Seal of Eternal Sorrow,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,25.0,,,11.0
,,,,,,,9.0,,,,,,,14.0,,,Seal of Sullen Fury,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,25.0,,,10.0
14.0,,,,,,,9.0,,,,,,,,,10.0,Swift Serpent Signet,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,25.0,,,
,,,,,,,,,,,,9.0,,14.0,,,Laser-Slice Signet,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,25.0,,,10.0
,,,,,,,12.0,,,,,10.0,,,,,Sorrowpath Signet,,,,Epic,90.0,,11.0,,,,,25.0,17.0,,
,,,,,,,,,,,,,,,,10.0,Galakrond Control Band,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,25.0,14.0,,9.0
,,,,,,,10.0,,,,,9.0,,,,,Seal of the Forgotten Kings,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,25.0,14.0,,
,,,,,"Warrior,Paladin,Death knight",,12.0,,,,,,,,,10.0,Prideful Gladiator's Signet of Accuracy,,,,Epic,90.0,,11.0,,,,,25.0,17.0,,
17.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,12.0,,,,,10.0,,,,,Prideful Gladiator's Ring of Cruelty,,,,Epic,90.0,,11.0,,,,,25.0,,,
,,,,,"Warrior,Paladin,Death knight",,12.0,,,,,10.0,,,,,Prideful Gladiator's Signet of Cruelty,,,,Epic,90.0,,11.0,,,,,25.0,17.0,,
,,,,,"Warrior,Paladin,Death knight",,12.0,,,,,10.0,,,,,Prideful Gladiator's Signet of Cruelty,,,,Epic,90.0,,11.0,,,,,25.0,17.0,,
,,,,,,,8.0,,,,,,,13.0,,,Durumu's Captive Eyeball,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,,,10.0
,,,,,,,10.0,,,,,12.0,,16.0,,,Petrified Pennyroyal Ring,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,,,,,,,,,,16.0,,,Kiln-Stoker Ring,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,,,11.0,,,,,,,16.0,,,Blind Fel-Eye Ring,,,,Uncommon,,,11.0,,,,,24.0,,,11.0
,,,,,,,,,,,,,,,,10.0,Galakrond Control Band,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,9.0
13.0,,,,,,,10.0,,,,,,,,,9.0,Ring of Restless Energy,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,,,
,,,,,,,8.0,,,,,,,13.0,,,Seal of Sullen Fury,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,,,10.0
,,,,,,,,,,,,10.0,,,,,Jin'rokh's Soulcrystal,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,12.0
,,,,,,,10.0,,,,,9.0,,,,,Seal of the Forgotten Kings,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,
,,,,,,,11.0,,,,,,,,,11.0,Spinescale Seal,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,
,,,,,,,9.0,,,,,10.0,,,,,Asgorathian Blood Seal,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,
,,,,,,,9.0,,,,,,,,,,Durumu's Severed Tentacle,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,9.0
,,,,,,,9.0,,,,,,,,,,Durumu's Severed Tentacle,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,9.0
,,,,,,,8.0,,,,,10.0,,,,,Band of the Scaled Tyrant,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,
,,,,,,,12.0,,,,,9.0,,,,,Sorrowpath Signet,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,
,,,,,,,,,,,,9.0,,13.0,,10.0,Signet of the Dinomancers,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,,,
,,,,,,,11.0,,,,,,,13.0,,7.0,Ro'shak's Remembrance,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,,,
13.0,,,,,,,7.0,,,,,10.0,,,,,Reality Ripper Ring,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,,,
,,,,,,,10.0,,,,,,,,,9.0,Devilfang Band,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,
,,,,,,,9.0,,,,,10.0,,,,,Asgorathian Blood Seal,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,
,,,,,,,,,,,,,,,,10.0,Galakrond Control Band,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,9.0
,,,,,,,11.0,,,,,11.0,,16.0,,,Extinguished Ember of Galakras,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,,,,,,,,9.0,,13.0,,,Laser-Slice Signet,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,,,9.0
,,,,,,,10.0,,,,,,,,,8.0,Bloodclaw Band,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,13.0,,
16.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,,,,,9.0,Grievous Gladiator's Ring of Accuracy,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,,,,,,,,9.0,,,,,Jin'rokh's Soulcrystal,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,11.0
16.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,9.0,,,,,Grievous Gladiator's Ring of Cruelty,,,,Epic,90.0,,11.0,,,,,24.0,,,
16.0,,,,,,,,,,,,11.0,,,,11.0,Sign of the Bloodied God,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,"Paladin,Priest,Shaman,Monk,Druid",,,,,,,9.0,,16.0,,,Grievous Gladiator's Band of Meditation,,,,Epic,90.0,,11.0,,,,,24.0,,,11.0
,,,,,,,11.0,,,,,10.0,,16.0,,,Jin'rokh's Dreamshard,,,,Epic,90.0,,11.0,,,,,24.0,,,
16.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,,,,,9.0,Grievous Gladiator's Ring of Accuracy,,,,Epic,90.0,,11.0,,,,,24.0,,,
16.0,,,,,,,9.0,,,,,,,,,11.0,Seal of the Shado-Pan Assault,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,"Warrior,Paladin,Death knight",,11.0,,,,,,,,,9.0,Grievous Gladiator's Signet of Accuracy,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,
,,,,,,,7.0,,,,,,,13.0,,,Durumu's Captive Eyeball,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,,,10.0
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,,9.0,,16.0,,,Grievous Gladiator's Band of Accuracy,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,,,,,,,,9.0,,16.0,,,Ring of the Shado-Pan Assault,,,,Epic,90.0,,11.0,,,,,24.0,,,11.0
16.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,,,,,9.0,Grievous Gladiator's Ring of Accuracy,,,,Epic,90.0,,11.0,,,,,24.0,,,
13.0,,,,,,,9.0,,,,,8.0,,,,,Gore-Soaked Gear,,1.0,,Epic,90.0,,11.0,Prismatic socket,,,,24.0,,,
,,,,,"Paladin,Priest,Shaman,Monk,Druid",,,,,,,9.0,,16.0,,,Grievous Gladiator's Band of Meditation,,,,Epic,90.0,,11.0,,,,,24.0,,,11.0
,,,,,,,8.0,,,,,12.0,,,,,Band of the Shado-Pan Assault,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,
,,,,,"Warrior,Paladin,Death knight",,11.0,,,,,9.0,,,,,Grievous Gladiator's Signet of Cruelty,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,
,,,,,"Warrior,Paladin,Death knight",,11.0,,,,,,,,,9.0,Grievous Gladiator's Signet of Accuracy,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,
,,,,,"Paladin,Priest,Shaman,Monk,Druid",,,,,,,9.0,,16.0,,,Grievous Gladiator's Band of Meditation,,,,Epic,90.0,,11.0,,,,,24.0,,,11.0
16.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,9.0,,,,,Grievous Gladiator's Ring of Cruelty,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,,,,16.0,,9.0,Grievous Gladiator's Band of Cruelty,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,,,,16.0,,9.0,Grievous Gladiator's Band of Cruelty,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,,,,,,,,11.0,,16.0,,,Watersoul Signet,,,,Epic,90.0,,11.0,,,,,24.0,,,9.0
,,,,,,,,,,,,21.0,,16.0,,,Sporebat Larval Pod,,,,Rare,90.0,,11.0,,,,,24.0,,,
,,,,,,,,,,,,,,16.0,,,Sha-Seeker Ring,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,,,,,,,,12.0,,,,8.0,Ring of the Bladed Tempest,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,
,,,,,,,11.0,,,,,11.0,,,,,Pit Fighter's Seal,,,,Uncommon,,,11.0,,,,,24.0,16.0,,
16.0,,,,,,,11.0,,,,,,,,,9.0,Invader's Scarlet Seal,,,,Rare,90.0,,11.0,,,,,24.0,,,
,,,,,,,,,,,,,,,,9.0,Ring of the Shattered Shell,,,,Epic,90.0,,11.0,,,,,24.0,16.0,,11.0
,,,,,,,8.0,,,,,12.0,,,,,Ogre Belly Chain Link,,,,Rare,,,11.0,,,,,24.0,16.0,,
,,,,,,,9.0,,,,,,,16.0,,,Frostfire Augur Signet,,,,Rare,,,11.0,,,,,24.0,,,11.0
16.0,,,,,,,11.0,,,,,,,,,,Rangari Initiate Ring,,,,Uncommon,,,11.0,,,,,24.0,,,11.0
16.0,,16.0,,,,,11.0,,,,,,,,,,Sapphire Seal,,,,Rare,90.0,,11.0,,,,,24.0,16.0,,11.0
16.0,,,,,,,,,,,,11.0,,,,11.0,Maa'run's Treacherous Eye,,,,Rare,,,11.0,,,,,24.0,,,
,,,,,,,,,,,,11.0,,,,,Band of Bursting Novas,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,9.0
,,,,,Paladin,,12.0,,,,,8.0,,15.0,,,Sunsoul Ring of Wisdom,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
,,,,,,,11.0,,,,,,,15.0,,8.0,Krik'thik Band,,,,Uncommon,,,11.0,,,,,23.0,,,
,,,,,,,,,,,,,,15.0,,,Bubblebrew Signet,,,,Rare,90.0,,11.0,,,,,23.0,,,
,,,,,"Warrior,Paladin,Death knight",,11.0,,,,,,,,,9.0,Dreadful Gladiator's Signet of Accuracy,,,,Rare,90.0,,11.0,,,,,23.0,15.0,,
15.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,9.0,,,,,Malevolent Gladiator's Ring of Cruelty,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,,,,,,,,11.0,,15.0,,,Watersoul Signet,,,,Epic,90.0,,11.0,,,,,23.0,,,9.0
,,,,,,,,,,,,10.0,,,,10.0,Jan-Ho's Unwavering Seal,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,
,,,,,Priest,,12.0,,,,,8.0,,15.0,,,Communal Ring of Wisdom,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
15.0,,,,,Hunter,,12.0,,,,,8.0,,,,,Trailseeker Ring of Onslaught,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
,,,,,Warrior,,,,,,,,,,,12.0,Oathsworn Ring of Stoicism,,,,Uncommon,90.0,,11.0,,,,,23.0,15.0,,8.0
,,,,,"Warrior,Paladin,Death knight",,11.0,,,,,,,,,9.0,Malevolent Gladiator's Signet of Accuracy,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,
,,,,,Paladin,,,,,,,12.0,,,,8.0,Sunsoul Ring of Might,,,,Uncommon,90.0,,11.0,,,,,23.0,15.0,,
,,,,,,,24.0,,,,,26.0,,,,,Signet of Dancing Jade,,,,Rare,90.0,,11.0,,,,,23.0,,,
,,,,,,,,,,,,,,15.0,,,Firebinder Ring,,,,Epic,90.0,,11.0,,,,,23.0,,,
,,,,,,,12.0,,,,,8.0,,,,,Seal of the Bloodseeker,,,,Epic,,,11.0,,,,,23.0,15.0,,
,,,,,"Warrior,Paladin,Death knight",,11.0,,,,,9.0,,,,,Tyrannical Gladiator's Signet of Cruelty,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,
,,,,,,,11.0,,,,,9.0,,,,,Blade Trap Signet,,,,Rare,88.0,,11.0,,,,,23.0,15.0,,
,,,,,Paladin,,10.0,,,,,,,,,10.0,Sunsoul Band of Might,,,,Uncommon,90.0,,11.0,,,,,23.0,15.0,,
,,,,,,,,,,,,,,,,26.0,Lime-Rimmed Signet,,,,Rare,90.0,,11.0,,,,,23.0,,,27.0
,,,,,,,8.0,,,,,11.0,,,,,Signet of the Slumbering Emperor,,,,Rare,90.0,,11.0,,,,,23.0,15.0,,
,,,,,"Warrior,Paladin,Death knight",,11.0,,,,,,,,,9.0,Tyrannical Gladiator's Signet of Accuracy,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,
,,,,,Mage,,12.0,,,,,8.0,,15.0,,,Mountainsage Ring of Destruction,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,,9.0,,15.0,,,Malevolent Gladiator's Band of Accuracy,,,,Epic,90.0,,11.0,,,,,24.0,,,
,,,,,,,24.0,,,,,25.0,,,,,Alemental Seal,,,,Rare,90.0,,11.0,,,,,23.0,,,
,,,,,,,8.0,,,,,,,,,,Vizier's Ruby Signet,,,,Epic,90.0,,11.0,,,,,23.0,12.0,,15.0
15.0,,,,,,,10.0,,,,,10.0,,,,,Delicate Mark of the Golden Lotus,,,,Rare,90.0,,11.0,,,,,23.0,,,
15.0,,,,,Shaman,,,,,,,10.0,,,,10.0,Streamtalker Band of Onslaught,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
15.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,9.0,,,,,Tyrannical Gladiator's Ring of Cruelty,,,,Epic,90.0,,11.0,,,,,23.0,,,
15.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,9.0,,,,,Dreadful Gladiator's Ring of Cruelty,,,,Rare,90.0,,11.0,,,,,23.0,,,
,,,,,,,11.0,,,,,8.0,,15.0,,,Burning Mark of the Golden Lotus,,,,Rare,90.0,,11.0,,,,,23.0,,,
15.0,,,,,,,12.0,,,,,,,,,8.0,Signet of the Shieldwall,,,,Epic,90.0,,11.0,,,,,23.0,,,
15.0,,,,,Druid,,12.0,,,,,8.0,,,,,Springrain Ring of Onslaught,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
,,,,,,,,,,,,20.0,,,,29.0,Ring of Malice,,,,Rare,90.0,,11.0,,,,,23.0,,,
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,,9.0,,15.0,,,Tyrannical Gladiator's Band of Accuracy,,,,Epic,90.0,,11.0,,,,,23.0,,,
,,,,,,,11.0,,,,,9.0,,15.0,,,Fragment of Fear Made Flesh,,,,Epic,90.0,,11.0,,,,,23.0,,,
15.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,,,,,9.0,Dreadful Gladiator's Ring of Accuracy,,,,Rare,90.0,,11.0,,,,,23.0,,,
15.0,,,,,,,,,,,,,,,,,Stormbound Ring,,,,Rare,90.0,,11.0,,,,,23.0,,,
,,,,,,,26.0,,,,,,,,,25.0,Pulled Grenade Pin,,,,Rare,90.0,,11.0,,,,,23.0,,,
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,,,,15.0,,9.0,Tyrannical Gladiator's Band of Cruelty,,,,Epic,90.0,,11.0,,,,,23.0,,,
,,,,,Monk,,12.0,,,,,8.0,,15.0,,,Mistdancer Ring of Wisdom,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
,,,,,,,,,,,,11.0,,,,8.0,Ring of the Bladed Tempest,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,
,,,,,,,8.0,,,,,12.0,,,,,Signet of the Bandit Lord,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,
,,,,,,,11.0,,,,,,,,,8.0,Refurbished Seal of Jin,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,
,,,,,,,,,,,,,,,,9.0,Ring of the Shattered Shell,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,11.0
,,,,,,,8.0,,,,,11.0,,,,,Ferocious Mark of the Golden Lotus,,,,Rare,90.0,,11.0,,,,,23.0,15.0,,
,,,,,Warlock,,,,,,,10.0,,15.0,,10.0,Felsoul Band of Destruction,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
15.0,,,,,,,9.0,,,,,11.0,,,,,Seal of Taran Zhu,,,,Rare,,,11.0,,,,,23.0,,,
,,,,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,,9.0,,15.0,,,Malevolent Gladiator's Band of Accuracy,,,,Epic,90.0,,11.0,,,,,23.0,,,
15.0,,,,,,,,,,,,,,,,,Warmsun Ring,,,,Epic,90.0,,11.0,,,,,23.0,,,
,,,,,Monk,,,,,,,10.0,,15.0,,,Mistdancer Band of Wisdom,,,,Uncommon,90.0,,11.0,,,,,23.0,,,10.0
,,,,,,,,,,,,,,,,9.0,Ancient Overlord's Onyx Band,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,11.0
,,,,,,,,,,,,,,15.0,,,Fireheart Ring,,,,Rare,90.0,,11.0,,,,,23.0,,,
,,,,,,,9.0,,,,,11.0,,,,,Circle of the Shieldwall,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,
15.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,9.0,,,,,Tyrannical Gladiator's Ring of Cruelty,,,,Epic,90.0,,11.0,,,,,23.0,,,
,,,,,Shaman,,12.0,,,,,8.0,,15.0,,,Streamtalker Ring of Wisdom,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
,,,,,Warlock,,8.0,,,,,12.0,,15.0,,,Felsoul Ring of Destruction,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
,,,,,,,29.0,,,,,21.0,,,,,Blade Trap Signet,,,,Rare,90.0,,11.0,,,,,23.0,,,
,,,,,"Paladin,Priest,Shaman,Monk,Druid",,,,,,,9.0,,15.0,,,Malevolent Gladiator's Band of Meditation,,,,Epic,90.0,,11.0,,,,,23.0,,,11.0
,,,,,"Paladin,Priest,Shaman,Monk,Druid",,,,,,,9.0,,15.0,,,Tyrannical Gladiator's Band of Meditation,,,,Epic,90.0,,11.0,,,,,23.0,,,11.0
,,,,,"Warrior,Paladin,Death knight",,11.0,,,,,9.0,,,,,Tyrannical Gladiator's Signet of Cruelty,,,,Epic,90.0,,11.0,,,,,23.0,15.0,,
,,,,,,,10.0,,,,,,,,,,Seal of the Paragon Wakened,,,,Uncommon,,,11.0,,,,,23.0,15.0,,10.0
,,,,,Priest,,,,,,,10.0,,15.0,,10.0,Communal Band of Destruction,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
,,,,,Priest,,12.0,,,,,8.0,,15.0,,,Communal Ring of Wisdom,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
15.0,,,,,Druid,,,,,,,10.0,,,,10.0,Springrain Band of Onslaught,,,,Uncommon,90.0,,11.0,,,,,23.0,,,
,,,,,,,8.0,,,,,,,,,11.0,Battlefront Band,,,,Rare,,,11.0,,,,,23.0,15.0,,
15.0,,,,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,,9.0,,,,,Malevolent Gladiator's Ring of Cruelty,,,,Epic,90.0,,11.0,,,,,23.0,,,
