agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,sturdiness,versatility
,,,58.0,,,19.0,,100.0,,,,,27.0,,17.0,Masterwork Spiritguard Legplates,,,,Rare,,90.0,7.0,,,,,40.0,27.0,27.0,,
,,,58.0,Paladin,,12.0,,120.0,,,18.0,,21.0,-580.0,,Malevolent Gladiator's Ornamented Legplates,,2.0,,Epic,2200.0,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,21.0,21.0,,
24.0,24.0,,39.0,Hunter,,12.0,,120.0,,,18.0,,24.0,1129.0,,Yaungol Slayer's Legguards,,1.0,,Epic,,90.0,7.0,Prismatic socket,,,,40.0,,,,
,,,56.0,Warrior,,,14.0,120.0,,,,,17.0,-485.0,,Colossal Dragonplate Legguards,,3.0,10.0,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,39.0,17.0,17.0,,
26.0,26.0,,37.0,,,,,85.0,,,,,26.0,,,Willow Legguards,,,,Uncommon,,86.0,7.0,,,,,39.0,,,,
19.0,19.0,,25.0,Rogue,,17.0,,120.0,,,11.0,,19.0,-421.0,,Cataclysmic Gladiator's Leather Legguards,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,38.0,,,,
16.0,16.0,,37.0,,,12.0,,120.0,,,13.0,,16.0,,,Rended Earth Leggings,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,
,,,55.0,Warrior,,,,120.0,,,,,19.0,-367.0,16.0,Legguards of the Molten Giant,,2.0,12.0,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,38.0,19.0,19.0,,
,,,15.0,Warlock,,,,120.0,,,13.0,,16.0,1072.0,12.0,Leggings of the Faceless Shroud,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,
16.0,16.0,,25.0,Druid,,7.0,,120.0,,,16.0,,16.0,1058.0,,Deep Earth Legguards,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,
,,,15.0,Priest,,16.0,,120.0,,,,,19.0,-359.0,12.0,Leggings of the Cleansing Flame,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,38.0,,,,
19.0,19.0,,25.0,Druid,,,,120.0,,,,,19.0,1060.0,6.0,Deep Earth Legwraps,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,16.0
16.0,16.0,,25.0,Druid,,,,120.0,,,14.0,,16.0,-479.0,9.0,Deep Earth Leggings,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,
19.0,19.0,,25.0,Druid,,,,120.0,,,16.0,,19.0,929.0,,Stormrider's Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,10.0
,,,54.0,,,12.0,,100.0,,,,,19.0,,13.0,Legguards of Winnowing Wind,,2.0,,Rare,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,
19.0,19.0,,25.0,,,,,100.0,,,10.0,,19.0,,16.0,Leggings of Late Blooms,,2.0,,Rare,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
,,,54.0,,,10.0,,120.0,,,16.0,,19.0,,,Terrastra's Legguards,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,
25.0,25.0,,25.0,,,,,120.0,,,,,25.0,,,Gale Rouser Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
,,,15.0,,,15.0,,120.0,,,12.0,,19.0,,,Serpentine Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
25.0,25.0,,25.0,,,,,100.0,,,,,25.0,,,Vicious Wyrmhide Legs,,,,Rare,,85.0,7.0,,,,,37.0,,,,32.0
,,,54.0,Death knight,,,,120.0,,,,,19.0,1001.0,15.0,Elementium Deathplate Legguards,,2.0,11.0,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,
25.0,25.0,,24.0,,,19.0,,100.0,,,,,25.0,,13.0,Leggings of Fragmented Hope,,,,Rare,,,7.0,,,,,37.0,,,,
,,,14.0,,,16.0,,85.0,,,16.0,,24.0,945.0,,Deathsilk Leggings,,,,Uncommon,,81.0,7.0,,,,,36.0,,,,
,,,35.0,Paladin,,,,120.0,,,,,,,,Legplates of the Holy Warrior,,,,Epic,,90.0,7.0,,,,,,,,,
,,,35.0,Warrior,,,,120.0,,,,,,,,Greaves of the Golden King,,,,Epic,,90.0,7.0,,,,,,,,,
,,,128.0,Priest,,96.0,,,,,,,237.0,,,Legwraps of the Cleansing Flame,,,,Epic,,85.0,7.0,,,,,356.0,,,,114.0
25.0,25.0,,30.0,Druid,,18.0,,120.0,,,16.0,,25.0,-1004.0,,Legguards of the Shattered Vale,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,46.0,,,,
25.0,25.0,,30.0,Monk,,20.0,,120.0,,,,,25.0,1191.0,12.0,Legguards of Seven Sacred Seals,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,46.0,,,,
,,,18.0,Warlock,,19.0,,120.0,,,,,25.0,1181.0,15.0,Leggings of the Horned Nightmare,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,46.0,,,,
,,,18.0,,,,,120.0,,,20.0,,25.0,,12.0,White Cloud Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,46.0,,,,
,,,18.0,,,12.0,,120.0,,,20.0,,25.0,,,Leggings of the Night Sky,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,46.0,,,,
,,,65.0,Warrior,,20.0,,120.0,,,14.0,,24.0,-1099.0,,Prideful Gladiator's Plate Legguards,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,45.0,24.0,24.0,,
22.0,22.0,,28.0,Monk,,,,120.0,,,16.0,,22.0,1159.0,14.0,Fire-Charm Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,43.0,,,,
22.0,22.0,,28.0,Monk,,,,120.0,,,16.0,,22.0,1160.0,14.0,Fire-Charm Legwraps,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,43.0,,,,
,,,17.0,,,13.0,,120.0,,,19.0,,25.0,,,Charfire Leggings,,1.0,,Epic,,90.0,7.0,Prismatic socket,,,,43.0,,,,
22.0,22.0,,41.0,Shaman,,13.0,,120.0,,,19.0,,22.0,-907.0,,Grievous Gladiator's Ringmail Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,43.0,,,,
28.0,28.0,,28.0,,,18.0,,100.0,,,19.0,,28.0,,,Frostwolf Scout's Legguards,,,,Rare,,,7.0,,,,,42.0,,,,
,,,60.0,,,,,120.0,,,,,28.0,,,Thunder Bastion Legplates,,,,Epic,,90.0,7.0,,,,,42.0,28.0,28.0,,
,,,16.0,,,18.0,,120.0,,,,,22.0,,11.0,Leggings of Shadow Infestation,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,42.0,,,,
25.0,25.0,,27.0,Monk,,17.0,,120.0,,,,,25.0,-546.0,16.0,Red Crane Legwraps,,1.0,,Epic,,90.0,7.0,Prismatic socket,,,,42.0,,,,
,,,59.0,Death knight,,15.0,,120.0,,,,,21.0,-701.0,14.0,Greaves of the All-Consuming Maw,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,41.0,21.0,21.0,,
,,,16.0,,,,,100.0,,,17.0,,27.0,,18.0,Leggings of the Frenzy,,,,Rare,,90.0,7.0,,,,,40.0,,,,
,,,58.0,,,,,120.0,,,13.0,,21.0,,16.0,Legplates of Sagacious Shadows,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,21.0,21.0,,
,,,16.0,Mage,,,,120.0,,,12.0,,21.0,-652.0,18.0,Tyrannical Gladiator's Silk Trousers,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
,,,16.0,,,16.0,,100.0,,,,,27.0,-609.0,19.0,Contender's Silk Pants,,,,Rare,,90.0,7.0,,,,,40.0,,,,
21.0,21.0,,39.0,,,15.0,,120.0,,,14.0,,21.0,,,Subetai's Pillaging Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
21.0,21.0,,39.0,,,12.0,,120.0,,,,,21.0,,17.0,Leggings of Imprisoned Will,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
,,,16.0,Mage,,,,120.0,,,12.0,,21.0,-670.0,18.0,Tyrannical Gladiator's Silk Trousers,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
,,,16.0,Warlock,,,,120.0,,,16.0,,24.0,1143.0,16.0,Sha-Skin Leggings,,1.0,,Epic,,90.0,7.0,Prismatic socket,,,,40.0,,,,
,,,16.0,,,14.0,,120.0,,,16.0,,21.0,,,Dreadwoven Leggings of Failure,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
27.0,27.0,,39.0,,,18.0,,100.0,,,17.0,,27.0,,,Dills' Primal Leggings,,,,Rare,,84.0,7.0,,,,,40.0,,,,
24.0,24.0,,26.0,,,12.0,,100.0,,,,,24.0,,18.0,Leggings of Whispered Dreams,,1.0,,Rare,,90.0,7.0,Prismatic socket,,,,40.0,,,,
,,,58.0,,,,,100.0,,,,,27.0,,19.0,Serenity Legplates,,,,Rare,,,7.0,,,,,40.0,27.0,27.0,,16.0
26.0,26.0,,38.0,,,,,85.0,,,,,26.0,,,Yak Legguards,,,,Uncommon,,88.0,7.0,,,,,39.0,,,,
26.0,26.0,,26.0,,,19.0,,100.0,,,15.0,,26.0,,,Leggings of Perfect Balance,,,,Rare,,82.0,7.0,,,,,39.0,,,,
26.0,26.0,,37.0,,,17.0,,100.0,,,17.0,,26.0,,,Hopping Mad Leggings,,,,Rare,,85.0,7.0,,,,,39.0,,,,
,,,56.0,,,13.0,,85.0,,,,,26.0,,19.0,Wasteland Heavy Legguards,,,,Uncommon,,88.0,7.0,,,,,39.0,26.0,26.0,,
16.0,16.0,,25.0,,,15.0,,120.0,,,,,16.0,,10.0,Bladeshadow Leggings,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,
,,,55.0,Death knight,,,,120.0,,,10.0,,16.0,1057.0,14.0,Necrotic Boneplate Greaves,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,16.0,16.0,,
,,,55.0,,,8.0,,120.0,,,,,19.0,,,Legplates of Absolute Control,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,38.0,19.0,19.0,,19.0
,,,55.0,Death knight,,,,120.0,,,,,16.0,1056.0,15.0,Necrotic Boneplate Legguards,,3.0,10.0,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,16.0,16.0,,
,,,15.0,,,,,120.0,,,,,16.0,,12.0,World Mender's Pants,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,13.0
,,,55.0,,,15.0,,85.0,,,,,25.0,,18.0,Mountainscaler Burnished Legplates,,,,Uncommon,,87.0,7.0,,,,,38.0,25.0,25.0,,
16.0,16.0,,25.0,Rogue,,15.0,,120.0,,,10.0,,16.0,-471.0,,Blackfang Battleweave Legguards,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,
19.0,19.0,,36.0,Hunter,,16.0,,120.0,,,10.0,,19.0,-344.0,,Ruthless Gladiator's Chain Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
,,,15.0,,,17.0,,100.0,,,16.0,,25.0,,,Time Traveler's Leggings,,,,Rare,,85.0,7.0,,,,,37.0,,,,
19.0,19.0,,36.0,Shaman,,11.0,,120.0,,,,,19.0,-295.0,,Legwraps of the Raging Elements,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,14.0
25.0,25.0,,25.0,,,,,120.0,,,,,25.0,,,Gale Rouser Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
,,,54.0,,,,,85.0,,,18.0,,25.0,,13.0,Faded Forest Burnished Legplates,,,,Uncommon,,85.0,7.0,,,,,37.0,25.0,25.0,,
19.0,19.0,,25.0,Rogue,,10.0,,120.0,,,17.0,,19.0,1006.0,,Dark Phoenix Legguards,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
19.0,19.0,,25.0,,,16.0,,120.0,,,10.0,,19.0,,,Aberration's Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
,,,15.0,,,17.0,,85.0,,,,,25.0,,16.0,Faded Forest Silk Trousers,,,,Uncommon,,85.0,7.0,,,,,37.0,,,,
,,,54.0,,,,10.0,100.0,,,,,22.0,,,Stone-Wrapped Greaves,,2.0,13.0,Rare,,83.0,7.0,Prismatic socket,Prismatic socket,,,37.0,22.0,22.0,,
,,,54.0,Paladin,,10.0,,100.0,,,16.0,,19.0,-310.0,,Bloodthirsty Gladiator's Ornamented Legplates,,2.0,,Rare,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,
19.0,19.0,,36.0,,,,,120.0,,,10.0,,19.0,,16.0,Leggings of Lethal Force,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
,,,54.0,Warrior,,10.0,,120.0,,,,,19.0,942.0,16.0,Earthen Legplates,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,
,,,15.0,Priest,,10.0,,120.0,,,16.0,,19.0,-391.0,,Vicious Gladiator's Mooncloth Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
,,,15.0,,,14.0,,120.0,,,16.0,,22.0,,,Breeches of Mended Nightmares,,1.0,,Epic,,85.0,7.0,Prismatic socket,,,,37.0,,,,
,,,54.0,Paladin,,10.0,,120.0,,,,,19.0,932.0,16.0,Reinforced Sapphirium Legplates,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,
,,,54.0,,,,,100.0,,,16.0,,19.0,,,Greaves of the Misguided,,2.0,,Rare,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,10.0
,,,15.0,Priest,,,,120.0,,,,,19.0,-292.0,10.0,Mercurial Legwraps,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,16.0
,,,24.0,Shaman,,,,120.0,,,,,,,,Windfury Legguards,,,,Epic,,90.0,7.0,,,,,,,,,
,,,35.0,Death knight,,,,120.0,,,,,,,,Legplates of the Lich Lord,,,,Epic,,90.0,7.0,,,,,,,,,
237.0,237.0,,217.0,Rogue,,100.0,,,,,110.0,,237.0,,,Dark Phoenix Legguards,,,,Epic,,85.0,7.0,,,,,356.0,,,,
,,,18.0,Mage,,19.0,,120.0,,,,,25.0,-1009.0,15.0,Chronomancer Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,46.0,,,,
,,,18.0,,,,,120.0,,,18.0,,25.0,,17.0,Leggings of Furious Flame,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,46.0,,,,
19.0,19.0,,41.0,,,,,120.0,,,16.0,,19.0,,11.0,Leggings of the Violent Gale,,3.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,43.0,,,,
,,,61.0,Paladin,,11.0,,120.0,,,,,22.0,1164.0,19.0,Lightning Emperor's Legguards,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,43.0,22.0,22.0,,
22.0,22.0,,27.0,,,14.0,,120.0,,,16.0,,22.0,,,Fear-Blackened Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,42.0,,,,
28.0,28.0,,40.0,,,,,100.0,,,19.0,,28.0,,19.0,Grutush's Fur-Padded Pantaloons,,,,Rare,,90.0,7.0,,,,,42.0,,,,
21.0,21.0,,27.0,Rogue,,,,120.0,,,16.0,,21.0,-717.0,14.0,Nine-Tailed Legguards,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,41.0,,,,
21.0,21.0,,27.0,,,,,120.0,,,11.0,,21.0,,18.0,Magnetized Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,41.0,,,,
,,,16.0,,,15.0,,120.0,,,,,21.0,,15.0,Leggings of Ebon Veins,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,41.0,,,,
,,,16.0,,,14.0,,120.0,,,,,21.0,,15.0,Jade Dust Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
,,,16.0,Mage,,,,,,,12.0,,21.0,-688.0,18.0,Tyrannical Gladiator's Silk Trousers,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
,,,16.0,Priest,,,,120.0,,,16.0,,24.0,1138.0,16.0,Guardian Serpent Leggings,,1.0,,Epic,,90.0,7.0,Prismatic socket,,,,40.0,,,,
24.0,24.0,,39.0,,,16.0,,100.0,,,16.0,,24.0,,,Hopping Mad Leggings,,1.0,,Rare,,90.0,7.0,Prismatic socket,,,,40.0,,,,
27.0,27.0,,39.0,,,16.0,,100.0,,,,,27.0,-603.0,19.0,Contender's Dragonscale Leggings,,,,Rare,,90.0,7.0,,,,,40.0,,,,
,,,58.0,,,16.0,,120.0,,,19.0,,27.0,,,Legplates of Durable Dreams,,,,Epic,,90.0,7.0,,,,,40.0,27.0,27.0,,
,,,16.0,Warlock,,,,120.0,,,12.0,,21.0,-590.0,18.0,Malevolent Gladiator's Felweave Trousers,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
,,,58.0,,,14.0,,100.0,,,,,27.0,,20.0,Wallwatcher Legguards,,,,Rare,,,7.0,,,,,40.0,27.0,27.0,,
,,,16.0,Mage,,,,120.0,,,16.0,,24.0,-510.0,16.0,Leggings of the Burning Scroll,,1.0,,Epic,,90.0,7.0,Prismatic socket,,,,40.0,,,,
21.0,21.0,,26.0,Rogue,,18.0,,120.0,,,12.0,,21.0,-689.0,,Tyrannical Gladiator's Leather Legguards,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
21.0,21.0,,26.0,,,,,120.0,,,11.0,,21.0,,17.0,Magnetized Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
,,,58.0,,,,,120.0,,,,,27.0,,,Yaungolian Legplates,,,,Epic,,90.0,7.0,,,,,40.0,27.0,27.0,,
,,,58.0,Warrior,,18.0,,120.0,,,12.0,,21.0,-578.0,,Malevolent Gladiator's Plate Legguards,,2.0,,Epic,2200.0,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,21.0,21.0,,
27.0,27.0,,26.0,,,17.0,,100.0,,,,,27.0,-604.0,19.0,Contender's Wyrmhide Leggings,,,,Rare,,90.0,7.0,,,,,40.0,,,,
,,,16.0,,,17.0,,120.0,,,,,21.0,,11.0,Leggings of Shadow Infestation,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
27.0,27.0,,26.0,,,19.0,,85.0,,,,,27.0,,15.0,Ghost Fox Legguards,,,,Uncommon,,,7.0,,,,,40.0,,,,
21.0,21.0,,39.0,Hunter,,18.0,,120.0,,,12.0,,21.0,-669.0,,Tyrannical Gladiator's Chain Leggings,,2.0,,Epic,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
24.0,24.0,,26.0,Monk,,16.0,,120.0,,,,,24.0,1131.0,15.0,Red Crane Legwraps,,1.0,,Epic,,90.0,7.0,Prismatic socket,,,,40.0,,,,
,,,16.0,Priest,,12.0,,100.0,,,18.0,,21.0,-627.0,,Crafted Dreadful Gladiator's Mooncloth Leggings,,2.0,,Rare,,90.0,7.0,Prismatic socket,Prismatic socket,,,40.0,,,,
,,,16.0,,,20.0,,100.0,,,14.0,,27.0,,,Leggings of Unleashed Anguish,,,,Rare,,90.0,7.0,,,,,40.0,,,,
,,,16.0,,,15.0,,100.0,,,,,24.0,,17.0,Leggings of Hallowed Fire,,1.0,,Rare,,90.0,7.0,Prismatic socket,,,,40.0,,,,
,,,57.0,,,,,85.0,,,,,26.0,,,Primordial Bloodsoaked Legplates,,,,Uncommon,,90.0,7.0,,,,,39.0,26.0,26.0,,
,,,57.0,,,20.0,,85.0,,,,,26.0,,14.0,Temple Guardian Legguards,,,,Uncommon,,,7.0,,,,,39.0,26.0,26.0,,
26.0,26.0,,25.0,,,,,85.0,,,,,26.0,,,Swamp Britches,,,,Uncommon,,86.0,7.0,,,,,39.0,,,,
,,,55.0,,,16.0,,85.0,,,,,26.0,,18.0,Mistwalker Heavy Legguards,,,,Uncommon,,,7.0,,,,,39.0,26.0,26.0,,
,,,15.0,Mage,,16.0,,120.0,,,,,19.0,-356.0,12.0,Firehawk Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,38.0,,,,
16.0,16.0,,37.0,Shaman,,,,120.0,,,10.0,,16.0,1069.0,,Spiritwalker's Legwraps,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,14.0
19.0,19.0,,25.0,Druid,,,,120.0,,,,,19.0,-353.0,10.0,Obsidian Arborweave Legwraps,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,38.0,,,,18.0
16.0,16.0,,36.0,Hunter,,15.0,,120.0,,,,,16.0,-478.0,10.0,Wyrmstalker's Legguards,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,,,,
,,,54.0,Paladin,,10.0,,120.0,,,,,16.0,-474.0,14.0,Legplates of Radiant Glory,,3.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,Prismatic socket,,38.0,16.0,16.0,,
25.0,25.0,,36.0,,,,,85.0,,,,,25.0,,,Stormscale Leggings,,,,Uncommon,,85.0,7.0,,,,,38.0,,,,
25.0,25.0,,36.0,,,,,100.0,,,,,25.0,,18.0,Vicious Dragonscale Legs,,,,Rare,,85.0,7.0,,,,,37.0,,,,13.0
,,,54.0,,,,,100.0,,,16.0,,25.0,,,Bloodied Pyrium Legguards,,,,Rare,,85.0,7.0,,,,,37.0,25.0,25.0,,16.0
25.0,25.0,,36.0,,,15.0,,120.0,,,12.0,,25.0,,,Distortion Greaves,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,31.0,,,,
,,,54.0,Death knight,,,10.0,120.0,,,,,19.0,-283.0,,Magma Plated Legguards,,2.0,16.0,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,
,,,54.0,,,,,120.0,,,,,25.0,,,Thunder Wall Greaves,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,25.0,25.0,,
,,,15.0,,,,,120.0,,,,,25.0,,,Soul Breath Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
25.0,25.0,,36.0,,,16.0,,100.0,,,16.0,,25.0,,,Balkar's Waders,,,,Rare,,83.0,7.0,,,,,37.0,,,,
19.0,19.0,,25.0,Druid,,13.0,,120.0,,,,,19.0,-285.0,,Stormrider's Legwraps,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,13.0
19.0,19.0,,36.0,Shaman,,11.0,,120.0,,,,,19.0,938.0,,Legwraps of the Raging Elements,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,14.0
,,,54.0,,,,,120.0,,,,,25.0,,,Tempest Keeper Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,25.0,25.0,,
,,,54.0,,,18.0,,100.0,,,14.0,,25.0,,,Alpheus Legguards,,,,Rare,,85.0,7.0,,,,,37.0,25.0,25.0,,
,,,54.0,,,,,120.0,,,16.0,,25.0,,10.0,Arcurion Legguards,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,31.0,25.0,25.0,,
,,,15.0,,,16.0,,100.0,,,,,25.0,,16.0,Legwraps of Astral Rain,,,,Rare,,83.0,7.0,,,,,37.0,,,,
19.0,19.0,,25.0,,,10.0,,100.0,,,,,19.0,,,Leggings of Clutching Roots,,2.0,,Rare,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,16.0
,,,15.0,,,,,100.0,,,,,25.0,,14.0,Curse-Tainted Leggings,,,,Rare,,83.0,7.0,,,,,37.0,,,,16.0
19.0,19.0,,36.0,Shaman,,10.0,,120.0,,,16.0,,19.0,-321.0,,Vicious Gladiator's Ringmail Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
25.0,25.0,,25.0,,,,,100.0,,,,,25.0,949.0,,Darkbrand Leggings,,,,Rare,,83.0,7.0,,,,,37.0,,,,
,,,15.0,Priest,,,,120.0,,,16.0,,19.0,936.0,,Mercurial Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,10.0
,,,54.0,Warrior,,10.0,,120.0,,,17.0,,19.0,1017.0,,Legplates of the Molten Giant,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,
,,,15.0,Warlock,,,,120.0,,,10.0,,19.0,-450.0,16.0,Ruthless Gladiator's Felweave Trousers,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
19.0,19.0,,25.0,,,14.0,,100.0,,,11.0,,19.0,,,Leggings of the Impenitent,,2.0,,Rare,,83.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
,,,54.0,Paladin,,12.0,,120.0,,,,,19.0,-290.0,,Reinforced Sapphirium Greaves,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,14.0
,,,54.0,,,,,100.0,,,,,19.0,,11.0,Legguards of the Gentle,,2.0,,Rare,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,19.0,19.0,,14.0
,,,54.0,,,16.0,,85.0,,,,,25.0,,16.0,Redsteel Legguards,,,,Uncommon,,82.0,7.0,,,,1.8,37.0,25.0,25.0,,
19.0,19.0,,36.0,,,16.0,,100.0,,,10.0,,19.0,,,Hillside Striders,,2.0,,Rare,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
19.0,19.0,,36.0,Hunter,,16.0,,,,,10.0,,19.0,-379.0,,Vicious Gladiator's Chain Leggings,,2.0,,Epic,,85.0,7.0,Prismatic socket,Prismatic socket,,,37.0,,,,
,,,53.0,,,14.0,,100.0,,,,,24.0,,17.0,Legguards of Winnowing Wind,,,,Rare,,81.0,7.0,,,,,36.0,24.0,24.0,,
24.0,24.0,,35.0,,,,,85.0,,,,,24.0,950.0,,Tsunami Leggings,,,,Uncommon,,82.0,7.0,,,,,36.0,,,,
