agi,agiint,agistr,agistrint,arcres,armor,atkpwr,classes,cooldown,critstrkrtng,dodgertng,firres,frores,hastertng,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdhastepct,slotbak,socket1,socket2,speed,splhastepct,sta,str,strint,versatility
,,,,,8.0,,,,10.0,,,,,14.0,,,Corrupted Eggshell Drape,,,,Uncommon,,,16.0,,,,,21.0,,,8.0
,,,,,8.0,,,,,,,,,,,,Mereldar Cloak,,,,Uncommon,82.0,,16.0,,,,,21.0,14.0,,
13.0,,,,,8.0,,,,7.0,,,,10.0,,,,Bait-Stained Drape,,,,Uncommon,,,16.0,,,,,20.0,,,
,,,,,10.0,,,,,,,,10.0,,,,Gloomwrap Greatcloak,,,,Epic,90.0,,16.0,,,,,26.0,17.0,,12.0
,,,,,10.0,,,,,,,,10.0,,,,Gloomwrap Greatcloak,,,,Epic,90.0,,16.0,,,,,26.0,17.0,,12.0
,,,,,10.0,,,,,,,,11.0,17.0,,12.0,Drape of the Omega,,,,Epic,90.0,,16.0,,,,,25.0,,,
,,,,,10.0,,,,,,,,10.0,,,,Gloomwrap Greatcloak,,,,Epic,90.0,,16.0,,,,,25.0,17.0,,12.0
17.0,,,,,10.0,,"Hunter,Rogue,Shaman,Monk,Druid",,,,,,10.0,,,12.0,Prideful Gladiator's Cape of Prowess,,,,Epic,90.0,,16.0,,,,,25.0,,,
,,,,,10.0,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,12.0,,,,10.0,17.0,,,Prideful Gladiator's Drape of Cruelty,,,,Epic,90.0,,16.0,,,,,25.0,,,
,,,,,10.0,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,12.0,,,,10.0,17.0,,,Prideful Gladiator's Drape of Cruelty,,,,Epic,90.0,,16.0,,,,,25.0,,,
,,,,,10.0,,"Warrior,Paladin,Death knight",,10.0,,,,12.0,,,,Prideful Gladiator's Cloak of Alacrity,,,,Epic,90.0,,16.0,,,,,25.0,17.0,,
,,,,,10.0,,"Warrior,Paladin,Death knight",,10.0,,,,,,,12.0,Prideful Gladiator's Cloak of Prowess,,,,Epic,90.0,,16.0,,,,,25.0,17.0,,
,,,,,10.0,,,,,,,,,,,10.0,Beakbreaker Greatcloak,,,,Epic,90.0,,16.0,,,,,24.0,16.0,,11.0
,,,,,10.0,,,,10.0,,,,11.0,,,,Aeth's Swiftcinder Cloak,,,,Epic,90.0,,16.0,,,,,24.0,16.0,,
,,,,,10.0,,,,8.0,,,,9.0,13.0,,,Deadly Glare Cape,,1.0,,Epic,90.0,,16.0,Prismatic socket,,,,24.0,,,
,,,,,10.0,,,,,,,,11.0,16.0,,,Brave Niunai's Cloak,,,,Epic,90.0,,16.0,,,,,24.0,,,11.0
,,,,,10.0,,,,11.0,,,,11.0,16.0,,,Cloak of Misguided Power,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,10.0,,,,,,,,10.0,13.0,,,Constantly Accelerating Cloak,,1.0,,Epic,90.0,,16.0,Prismatic socket,,,,24.0,,,8.0
,,,,,10.0,,,,9.0,,,,,16.0,,,Drape of Booming Nights,,,,Epic,90.0,,16.0,,,,,24.0,,,12.0
,,,,,10.0,,,,10.0,,,,,,,,White Snow Skycloak,,1.0,,Epic,90.0,,16.0,Prismatic socket,,,,24.0,13.0,,8.0
,,,,,10.0,,,,,,,,,,,,Elder Tortoiseshell Drape,,,,Epic,90.0,,16.0,,,,,24.0,16.0,,
,,,,,10.0,,,,,,,,10.0,16.0,,11.0,Drape of the Omega,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,10.0,,,,,,,,11.0,16.0,,,Brave Niunai's Cloak,,,,Epic,90.0,,16.0,,,,,24.0,,,11.0
,,,,,9.0,,,,10.0,,,,,16.0,,11.0,Shimmershell Cape,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,9.0,,,,,,,,10.0,16.0,,11.0,Drape of the Omega,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,9.0,,,,8.0,,,,9.0,13.0,,,Deadly Glare Cape,,1.0,,Epic,90.0,,16.0,Prismatic socket,,,,24.0,,,
,,,,,9.0,,,,10.0,,,,8.0,,,,Hydra-Scale Bloodcloak,,1.0,,Epic,90.0,,16.0,Prismatic socket,,,,24.0,13.0,,
,,,,,9.0,,,,,,,,10.0,13.0,,,Constantly Accelerating Cloak,,1.0,,Epic,90.0,,16.0,Prismatic socket,,,,24.0,,,8.0
,,,,,9.0,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,,,,,9.0,16.0,,11.0,Grievous Gladiator's Drape of Prowess,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,9.0,,"Paladin,Priest,Shaman,Monk,Druid",,9.0,,,,,16.0,,,Grievous Gladiator's Drape of Meditation,,,,Epic,90.0,,16.0,,,,,24.0,,,11.0
,,,,,9.0,,,,8.0,,,,9.0,13.0,,,Deadly Glare Cape,,1.0,,Epic,90.0,,16.0,Prismatic socket,,,,24.0,,,
,,,,,9.0,,"Paladin,Priest,Shaman,Monk,Druid",,9.0,,,,,16.0,,,Grievous Gladiator's Drape of Meditation,,,,Epic,90.0,,16.0,,,,,24.0,,,11.0
16.0,,,,,9.0,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,9.0,,,,Grievous Gladiator's Cape of Cruelty,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,9.0,,,,11.0,,,,,,,11.0,Horn-Rimmed Doomcloak,,,,Epic,90.0,,16.0,,,,,24.0,16.0,,
,,,,,9.0,,"Warrior,Paladin,Death knight",,9.0,,,,,,,11.0,Grievous Gladiator's Cloak of Prowess,,,,Epic,90.0,,16.0,,,,,24.0,16.0,,
,,,,,9.0,,,,10.0,,,,,16.0,,11.0,Shimmershell Cape,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,9.0,,,,,,,,11.0,,,9.0,Spikeshard Greatcloak,,,,Epic,90.0,,16.0,,,,,24.0,16.0,,
,,,,,9.0,,"Paladin,Priest,Shaman,Monk,Druid",,9.0,,,,,16.0,,,Grievous Gladiator's Drape of Meditation,,,,Epic,90.0,,16.0,,,,,24.0,,,11.0
,,,,,9.0,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,9.0,16.0,,,Grievous Gladiator's Drape of Cruelty,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,9.0,,,,,,,,,,,,Thunder Bastion Drape,,,,Epic,90.0,,16.0,,,,,24.0,16.0,,
,,,,,9.0,,,,,,,,8.0,,,12.0,Wolfsfur Greatcloak,,,,Uncommon,,,16.0,,,,,24.0,16.0,,
,,,,,9.0,,,,,,,,11.0,16.0,,11.0,Frostshaper Cape,,,,Rare,90.0,,16.0,,,,,24.0,,,
,,,,,9.0,,,,,,,,10.0,15.0,,10.0,Cloak of Overwhelming Corruption,,,,Epic,90.0,,16.0,,,,,23.0,,,
15.0,,,,,9.0,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,9.0,,,,Dreadful Gladiator's Cape of Cruelty,,,,Rare,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,,,,,9.0,15.0,,11.0,Malevolent Gladiator's Drape of Prowess,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,9.0,,Shaman,,,,,,,15.0,,10.0,Streamtalker Cloak of Wisdom,,,,Uncommon,90.0,,16.0,,,,,23.0,,,10.0
15.0,,,,,9.0,,"Hunter,Rogue,Shaman,Monk,Druid",,11.0,,,,9.0,,,,Tyrannical Gladiator's Cape of Cruelty,,,,Epic,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,"Paladin,Priest,Shaman,Monk,Druid",,9.0,,,,,15.0,,,Tyrannical Gladiator's Drape of Meditation,,,,Epic,90.0,,16.0,,,,,23.0,,,11.0
15.0,,,,,9.0,,Druid,,10.0,,,,10.0,,,,Springrain Cloak of Rage,,,,Uncommon,90.0,,16.0,,,,,23.0,,,
15.0,,,,,9.0,,"Hunter,Rogue,Shaman,Monk,Druid",,,,,,9.0,,,11.0,Dreadful Gladiator's Cape of Prowess,,,,Rare,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,"Paladin,Priest,Shaman,Monk,Druid",,9.0,,,,,15.0,,,Malevolent Gladiator's Drape of Meditation,,,,Epic,90.0,,16.0,,,,,24.0,,,11.0
,,,,,9.0,,"Warrior,Paladin,Death knight",,9.0,,,,11.0,,,,Tyrannical Gladiator's Cloak of Alacrity,,,,Epic,90.0,,16.0,,,,,23.0,15.0,,
,,,,,9.0,,"Warrior,Paladin,Death knight",,9.0,,,,11.0,,,,Malevolent Gladiator's Cloak of Alacrity,,,,Epic,90.0,,16.0,,,,,24.0,15.0,,
,,,,,9.0,,"Warrior,Paladin,Death knight",,9.0,,,,11.0,,,,Tyrannical Gladiator's Cloak of Alacrity,,,,Epic,90.0,,16.0,,,,,23.0,15.0,,
,,,,,9.0,,,,,,,,,,,,Elder Tortoiseshell Drape,,,,Epic,90.0,,16.0,,,,,23.0,15.0,,
15.0,,,,,9.0,,"Hunter,Rogue,Shaman,Monk,Druid",,,,,,9.0,,,11.0,Tyrannical Gladiator's Cape of Prowess,,,,Epic,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,Druid,,,,,,10.0,15.0,,10.0,Springrain Cloak of Destruction,,,,Uncommon,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,"Warrior,Paladin,Death knight",,9.0,,,,,,,11.0,Malevolent Gladiator's Cloak of Prowess,,,,Epic,90.0,,16.0,,,,,24.0,15.0,,
15.0,,,,,9.0,,Shaman,,10.0,,,,10.0,,,,Streamtalker Cloak of Rage,,,,Uncommon,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,9.0,15.0,,,Tyrannical Gladiator's Drape of Cruelty,,,,Epic,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,,,,,,,,15.0,,,Fireheart Cloak,,,,Rare,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,,,,,9.0,15.0,,11.0,Tyrannical Gladiator's Drape of Prowess,,,,Epic,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,,,,,,,,15.0,,,Brewmoon Cloak,,,,Rare,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,Paladin,,10.0,,,,,,,10.0,Sunsoul Cloak of Battle,,,,Uncommon,90.0,,16.0,,,,,23.0,15.0,,
15.0,,,15.0,,9.0,,,,,,,,8.0,15.0,,,Sagewhisper's Wrap,,,,Rare,90.0,,16.0,,,,,23.0,15.0,,12.0
,,,,,9.0,,"Warrior,Paladin,Death knight",,9.0,,,,,,,11.0,Dreadful Gladiator's Cloak of Prowess,,,,Rare,90.0,,16.0,,,,,23.0,15.0,,
,,,,,9.0,,"Warrior,Paladin,Death knight",,9.0,,,,11.0,,,,Tyrannical Gladiator's Cloak of Alacrity,,,,Epic,90.0,,16.0,,,,,23.0,15.0,,
15.0,,,,,9.0,,Monk,,10.0,,,,10.0,,,,Mistdancer Cloak of Rage,,,,Uncommon,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,Warrior,,10.0,,,,,,,10.0,Oathsworn Cloak of Battle,,,,Uncommon,90.0,,16.0,,,,,23.0,15.0,,
,,,,,9.0,,"Warrior,Paladin,Death knight",,9.0,,,,,,,11.0,Tyrannical Gladiator's Cloak of Prowess,,,,Epic,90.0,,16.0,,,,,23.0,15.0,,
15.0,,,,,9.0,,,,,,,,,,,,Brewcarrier Cloak,,,,Epic,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,Paladin,,10.0,,,,,,,10.0,Sunsoul Cloak of Battle,,,,Uncommon,90.0,,16.0,,,,,23.0,15.0,,
,,,,,9.0,,Druid,,,,,,,15.0,,10.0,Springrain Cloak of Wisdom,,,,Uncommon,90.0,,16.0,,,,,23.0,,,10.0
,,,,,9.0,,,,9.0,,,,11.0,15.0,,,Cloak of Ancient Curses,,,,Rare,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,9.0,15.0,,,Malevolent Gladiator's Drape of Cruelty,,,,Epic,90.0,,16.0,,,,,24.0,,,
,,,,,9.0,,,,9.0,,,,,,,,Cloak of the Immortal Guardian,,,,Epic,90.0,,16.0,,,,,23.0,15.0,,11.0
,,,,,9.0,,"Paladin,Priest,Shaman,Mage,Warlock,Monk,Druid",,11.0,,,,9.0,15.0,,,Tyrannical Gladiator's Drape of Cruelty,,,,Epic,90.0,,16.0,,,,,23.0,,,
,,,,,9.0,,Paladin,,,,,,,,,10.0,Sunsoul Cloak of Stoicism,,,,Uncommon,90.0,,16.0,,,,,23.0,15.0,,10.0
,,,,,9.0,,,,9.0,,,,10.0,,,,Dusklight Drape,,,,Uncommon,,,16.0,,,,,22.0,15.0,,
,,,,,8.0,,,,9.0,,,,,14.0,,10.0,Waterfall Drape,,,,Uncommon,,,16.0,,,,,21.0,,,
,,,,,8.0,,,,9.0,,,,9.0,,,,Balmy Drape,,,,Uncommon,,,16.0,,,,,21.0,14.0,,
,,,,,8.0,,,,,,,,,14.0,,,Shamanic Cloak,,,,Uncommon,85.0,,16.0,,,,,21.0,,,
,,,,,8.0,,,,9.0,,,,9.0,,,,The Frost Lord's Battle Shroud,,,,Epic,85.0,,16.0,,,,,21.0,14.0,,
,,,,,8.0,,,,,,,,,14.0,,,Intricate Cloak,,,,Uncommon,83.0,,16.0,,,,,21.0,,,
,,,,,8.0,,,,,,,,,14.0,,,Planetary Drape,,,,Epic,85.0,,16.0,,,,,21.0,,,
,,,,,8.0,,,,,,,,,14.0,,8.0,Thousand Bandage Drape,,,,Rare,84.0,,16.0,,,,,21.0,,,10.0
14.0,,,,,8.0,,"Hunter,Rogue,Shaman,Monk,Druid",,9.0,,,,9.0,,,,Ruthless Gladiator's Cape of Cruelty,,,,Epic,85.0,,16.0,,,,,21.0,,,
,,,,,8.0,,"Paladin,Priest,Shaman,Monk,Druid",,9.0,,,,,14.0,,,Ruthless Gladiator's Drape of Meditation,,,,Epic,85.0,,16.0,,,,,21.0,,,9.0
,,,,,8.0,,,,10.0,,,,,14.0,,9.0,Faded Forest Drape,,,,Uncommon,85.0,,16.0,,,,,21.0,,,
14.0,,,14.0,,8.0,,,,,,,,9.0,14.0,,9.0,Eagle Ray Cloak,,,,Rare,85.0,,16.0,,,,,21.0,14.0,,
14.0,,,,,8.0,,"Hunter,Rogue,Shaman,Monk,Druid",,,,,,9.0,,,9.0,Vicious Gladiator's Cape of Prowess,,,,Epic,85.0,,16.0,,,,,21.0,,,
,,,,,8.0,,"Warrior,Paladin,Death knight",,9.0,,,,,,,9.0,Bloodthirsty Gladiator's Cloak of Prowess,,,,Rare,85.0,,16.0,,,,,21.0,14.0,,
,,,,,8.0,,"Paladin,Priest,Shaman,Monk,Druid",,9.0,,,,,14.0,,,Ruthless Gladiator's Drape of Meditation,,,,Epic,85.0,,16.0,,,,,21.0,,,9.0
,,,,,8.0,,"Paladin,Priest,Shaman,Mage,Warlock,Druid",,14.0,,,,9.0,14.0,,,Bloodthirsty Gladiator's Drape of Diffusion,,,,Rare,85.0,,16.0,,,,,21.0,,,
14.0,,,,,8.0,,"Hunter,Rogue,Shaman,Monk,Druid",,,,,,9.0,,,9.0,Ruthless Gladiator's Cape of Prowess,,,,Epic,85.0,,16.0,,,,,21.0,,,
,,,,,8.0,,,,,,,,,,,,Thondroril Cloak,,,,Uncommon,83.0,,16.0,,,,,21.0,14.0,,
,,,,,8.0,,,,,9.0,,,,,,9.0,Stonerender Drape,,,,Uncommon,,,16.0,,,,,21.0,14.0,,
,,,,,8.0,,,,7.0,,,,,,,10.0,Cloak of Fungal Growth,,,,Uncommon,,,16.0,,,,,21.0,14.0,,
18.0,,,18.0,,11.0,,,,,,,,16.0,18.0,,9.0,Sigrid's Phantom Shroud,,,,Uncommon,,,16.0,,,,,28.0,18.0,,
19.0,,,19.0,,11.0,,,,11.0,,,,,19.0,,14.0,Demon Commander's Drape,,,,Rare,100.0,,16.0,,,,,29.0,19.0,,
,,,,,11.0,,,,10.0,,,,,19.0,,,Polymorphic Cloak of Absorption,,,,Epic,100.0,,16.0,,,,,28.0,,,15.0
,,,,,11.0,,,,,,,,,18.0,,,Brilliant Hexweave Cloak,,,,Epic,91.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,,,,,15.0,19.0,,10.0,Shawl of Sanguinary Ritual,,,,Epic,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,12.0,,,,,18.0,,,Barrage Dodger Cloak,,,,Epic,100.0,,16.0,,,,,28.0,,,12.0
,,,,,11.0,,,,,,,,8.0,19.0,,,Drape of Beckoned Souls,,,,Epic,100.0,,16.0,,,,,28.0,,,17.0
,,,,,11.0,,,,,,,,,,,,Powerful Burnished Cloak,,,,Epic,91.0,,16.0,,,,,28.0,18.0,,
18.0,,,,,11.0,,,,,,,,,,,,Nimble Burnished Cloak,,,,Epic,91.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,,,,,12.0,,,,Drape of Dripping Runnels,,,,Rare,100.0,,16.0,,,,,28.0,18.0,,12.0
18.0,,18.0,,,11.0,,,,,,,,,,,10.0,Fireproof Greatcloak,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,14.0
,,,,,11.0,,,,7.0,,,,19.0,19.0,,,Cloak of Hideous Unity,,,,Epic,100.0,,16.0,,,,,29.0,,,
18.0,,,,,11.0,,,,12.0,,,,13.0,,,,Drape of the Dark Hunt,,,,Epic,100.0,,16.0,,,,,28.0,,,
19.0,,19.0,,,11.0,,,,9.0,,,,,,,,Drape of Gluttony,,,,Epic,100.0,,16.0,,,,,28.0,19.0,,16.0
,,,,,11.0,,,,,,,,10.0,,,,Milenah's Intricate Cloak,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,14.0
17.0,,17.0,,,10.0,,,,,,,,,,,12.0,Hollowblood Scale Cloak,,,,Uncommon,,,16.0,,,,,26.0,17.0,,10.0
,,,,,11.0,,,,,,,,,19.0,,8.0,Cloak of Insatiable Greed,,,,Epic,100.0,,16.0,,,,,28.0,,,17.0
,,,,,11.0,,,,13.0,,,,11.0,18.0,,,Runescribed Gronncloak,,,,Epic,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,,,,,12.0,18.0,,12.0,Cloak of Arcane Mysteries,,,,Rare,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,7.0,,,,,19.0,,11.0,Spellcloak of Suramar,,,,Epic,100.0,,16.0,,,,,29.0,,,7.0
,,,,,11.0,,,,,,,,,,,,Powerful Hexweave Cloak,,,,Epic,91.0,,16.0,,,,,28.0,18.0,,
,,,,,11.0,,,,10.0,,,,,18.0,,,Drape of Iron Sutures,,,,Rare,100.0,,16.0,,,,,28.0,,,13.0
,,,,,11.0,,,,17.0,,,,8.0,19.0,,,Sparkburnt Welder's Cloak,,,,Epic,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,14.0,,,,10.0,18.0,,,Cloak of Searing Shadows,,,,Epic,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,,,,,17.0,,,8.0,Soulbinder's Greatcloak,,,,Epic,100.0,,16.0,,,,,28.0,19.0,,
,,,,,11.0,,,,12.0,,,,,18.0,,12.0,Kyu-Sy's Tarflame Doomcloak,,,,Epic,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,,,,,,18.0,,,Brilliant Burnished Cloak,,,,Epic,91.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,11.0,,,,,,,13.0,Cloak of Sanguine Terror,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,
18.0,,,,,11.0,,,,,,,,10.0,,,,Cloak of Creeping Necrosis,,,,Epic,100.0,,16.0,,,,,28.0,,,14.0
19.0,,,,,11.0,,,,,,,,15.0,,,,Forward Observer's Camouflage Cloak,,,,Epic,100.0,,16.0,,,,,28.0,,,10.0
,,,,,11.0,,,,13.0,,,,11.0,,,,Charbreath Firecloak,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,
18.0,,,,,11.0,,,,,,,,,,,,Nimble Hexweave Cloak,,,,Epic,91.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,17.0,,,,,,,9.0,Cloak of Incendiary Wrath,,,,Epic,100.0,,16.0,,,,,29.0,19.0,,
18.0,,,18.0,,11.0,,,,15.0,,,,10.0,18.0,,,Bosun's Acid-Blotched Cape,,,,Rare,98.0,,16.0,,,,,28.0,18.0,,
18.0,,,,,11.0,,,,,,,,12.0,,,12.0,Cloak of Delving Secrets,,,,Epic,100.0,,16.0,,,,,28.0,,,
18.0,,,,,11.0,,,,,,,,10.0,,,13.0,Cloak of Violent Harmony,,,,Rare,100.0,,16.0,,,,,28.0,,,
18.0,,,,,11.0,,,,13.0,,,,,,,11.0,Soot-Scarred Longcloak,,,,Rare,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,,,,,7.0,19.0,,11.0,Nether-Touched Cloak,,,,Epic,100.0,,16.0,,,,,29.0,,,7.0
,,,,,11.0,,,,10.0,,,,,,,13.0,Cloak of Ruminant Deception,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,
18.0,,18.0,,,11.0,,,,,,,,,,,13.0,Gronn-Stitched Greatcloak,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,12.0
,,,,,11.0,,,,,,,,11.0,18.0,,,Haunting Nightmare Cloak,,,,Epic,100.0,,16.0,,,,,28.0,,,14.0
18.0,,,,,11.0,,,,,,,,13.0,,,,Deadshot Greatcloak,,,,Rare,100.0,,16.0,,,,,28.0,,,11.0
,,,,,11.0,,,,,,,,,18.0,,12.0,Cape of Annealing Flesh,,,,Rare,100.0,,16.0,,,,,28.0,,,13.0
,,,,,11.0,,,,,,,,10.0,,,14.0,Grizzled Wolfskin Cloak,,,,Rare,98.0,,16.0,,,,,28.0,18.0,,
,,,,,,,,,,,,,,,,,Formula: Enchant Cloak - Binding of Intellect,,,,Common,100.0,,,,,,,,,,
,,,,,11.0,,,,15.0,,,,,19.0,,10.0,Impertinent Student's Cloak,,,,Epic,100.0,,16.0,,,,,28.0,,,
18.0,,,18.0,,11.0,,,,15.0,,,,10.0,18.0,,,Highmountain Trueshot Cape,,,,Uncommon,,,16.0,,,,,28.0,18.0,,
,,,,,11.0,,,,13.0,,,,,18.0,,11.0,Drape of Frozen Dreams,,,,Rare,100.0,,16.0,,,,,28.0,,,
18.0,,18.0,,,11.0,,,,,,,,,,,13.0,Pristine Hide of the Pit Beast,,,,Rare,100.0,,16.0,,,,,28.0,18.0,,11.0
,,,,,10.0,,,,10.0,,,,,17.0,,12.0,Hollowblood Cloak,,,,Uncommon,,,16.0,,,,,26.0,,,
19.0,,19.0,,,11.0,,,,,,,,,,,8.0,Void Lord's Wizened Cloak,,,,Epic,100.0,,16.0,,,,,29.0,19.0,,18.0
19.0,,,,,11.0,,,,17.0,,,,8.0,,,,Cloak of Desperate Temerity,,,,Epic,100.0,,16.0,,,,,28.0,,,
18.0,,,,,11.0,,,,13.0,,,,11.0,,,,Magic-Breaker Cape,,,,Epic,100.0,,16.0,,,,,28.0,,,
18.0,,18.0,,,11.0,,,,,,,,,,,13.0,Greatcloak of Insatiable Hunger,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,11.0
,,,,,11.0,,,,,,,,13.0,18.0,,11.0,Primal Gladiator's Drape of Prowess,,,,Epic,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,,,,,10.0,18.0,,,Flame Infusion Drape,,,,Epic,100.0,,16.0,,,,,28.0,,,13.0
,,,,,,,,,,,,,,,,,Formula: Enchant Cloak - Binding of Agility,,,,Common,100.0,,,,,,,,,,
19.0,,,,,11.0,,,,,,,,9.0,,,17.0,Cloak of Tangible Dread,,,,Epic,100.0,,16.0,,,,,29.0,,,
18.0,,,18.0,,11.0,,,,8.0,,,,,18.0,,16.0,Whitewater Safety Blanket,,,,Rare,,,16.0,,,,,28.0,18.0,,
18.0,,,18.0,,11.0,,,,9.0,,,,16.0,18.0,,,Harefoot Pinnacle Wrap,,,,Rare,98.0,,16.0,,,,,28.0,18.0,,
,,,,,11.0,,,,12.0,,,,,18.0,,,Flamelicked Cloak of Kaufebyrd,,,,Epic,100.0,,16.0,,,,,28.0,,,12.0
,,,,,11.0,,,,,,,,13.0,18.0,,12.0,Runefrenzy Greatcloak,,,,Epic,100.0,,16.0,,,,,28.0,,,
18.0,,,,,11.0,,,,14.0,,,,10.0,,,,Rotmelter Mosscloak,,,,Epic,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,,,,,13.0,18.0,,11.0,Primal Combatant's Drape of Prowess,,,,Rare,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,13.0,,,,10.0,,,,Skullcracker Cloak,,,,Rare,100.0,,16.0,,,,,28.0,18.0,,
,,,,,,,,,,,,,,,,,Formula: Enchant Cloak - Binding of Strength,,,,Common,100.0,,,,,,,,,,
,,,,,11.0,,,,,,,,13.0,18.0,,11.0,Primal Gladiator's Drape of Prowess,,,,Epic,100.0,,16.0,,,,,28.0,,,
19.0,,,,,11.0,,,,,,,,12.0,,,14.0,Warmongering Gladiator's Cape of Prowess,,,,Epic,100.0,,16.0,,,,,29.0,,,
19.0,,,,,11.0,,,,15.0,,,,,,,10.0,Windswept Wanderer's Drape,,,,Epic,100.0,,16.0,,,,,28.0,,,
18.0,,18.0,,,11.0,,,,,,,,11.0,,,,Eye-Blinder Greatcloak,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,13.0
,,,,,11.0,,,,12.0,,,,,18.0,,12.0,Rinnila's Regal Cloak,,,,Epic,100.0,,16.0,,,,,28.0,,,
18.0,,18.0,,,11.0,,,,,,,,,,,13.0,Ravenous Greatcloak,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,11.0
18.0,,18.0,,,11.0,,,,10.0,,,,,,,,Bloodcrystal Chaincloak,,,,Epic,100.0,,16.0,,,,,28.0,18.0,,15.0
18.0,,18.0,,,11.0,,,,,,,,,,,10.0,Rigid Scale Cloak,,,,Rare,100.0,,16.0,,,,,28.0,18.0,,14.0
,,,,,11.0,,,,,,,,,,,,Oshu'gun Cloak,,,,Uncommon,100.0,,16.0,,,,,28.0,,,
18.0,,,,,11.0,,,,13.0,,,,,,,11.0,Warmongering Aspirant's Cape of Cruelty,,,,Uncommon,100.0,,16.0,,,,,28.0,,,
,,,,,11.0,,,,,,,,,18.0,,12.0,Mistwoven Windcloak,,,,Rare,100.0,,16.0,,,,,28.0,,,12.0
,,,,,11.0,,,,,,,,14.0,18.0,,10.0,Sargerei Councilor's Drape,,,,Rare,100.0,,16.0,,,,,28.0,,,
18.0,,18.0,,,11.0,,,,,,,,9.0,,,,Drape of Nimble Deflection,,,,Rare,100.0,,16.0,,,,,28.0,18.0,,14.0
,,,,,11.0,,,,,,,,12.0,18.0,,,Yal's Leafwrap Cloak,,,,Rare,100.0,,16.0,,,,,28.0,,,12.0
,,,,,10.0,,,,12.0,,,,,,,9.0,Strength of Dionor,,,,Rare,,,16.0,,,,,24.0,16.0,,
,,,,,11.0,,,,8.0,,,,,,,17.0,Rugged Bloodcaked Drape,,,,Epic,100.0,,16.0,,,,,28.0,19.0,,
19.0,,19.0,,,11.0,,,,,,,,10.0,,,,Ironthread Greatcloak,,,,Epic,100.0,,16.0,,,,,28.0,19.0,,15.0
